QuestionID,Question,,,
54354032,Thank you Daniel. What ended up being done with the tire pressure sensors?,54403068,"Tech inspected everything verified sensors are communicating, The Tech also noted having certain devices in the vehicle and throw off the communication and signal can trigger the tire pressure light. At this point they confirmed all tire pressure sensors are calibrated and functioning there are no futher recommendations at this time. The service has been taken care of as well as the Windshield. 

--Daniel Poplar DCH Toyota of Torrance",14463
54323386,What service is it due for?,54378201,"Good Morning Amber Miladinovich, your 2005 Corolla is due for a Minor service includes oil and filter change , rotate tires , clean adjust brakes , top off fluids and 27 point inspection the cost is $89.95 plus tax, would you like to make appointment?

--Diana Cota DCH Toyota of Torrance",46370
54320888,Thanks for the information. I'll get in there when I have some free time. Have a great week!,54321080,"Hi Trurina Cummings, no problem , give us a call or text when your ready to service your vehicle ,have a great weak also.

--Diana Cota DCH Toyota of Torrance",364
54319673,"It has only happened recently- maybe 3 times in total. What happens is that it will eventually blow out cold air, but not until about 10-15 minutes into thedrive. It could totally just be a side-effect of it being so hot recently.",54319921,"just to make sure we are checking properly. it stops blowing cold but there is still air coming out of vents correct.? does it happen when early cold or after driving a while and engine is hot?
anything that you can think of may help. thank you 

--Miguel Ortiz DCH Toyota of Torrance",285
54315614,Ok what time can I pick it up in the am? ,54315911,It will be ready around 8am,153
54310019,I was wondering how long will it be until my car is finished,Answer Unavailable,,
54307062,1) can we reduce it to a total cost of $210?  And 2) how long would I have to wait?,54344100,"Good Morning Mrs. Fenske,
I have spoken with Margaret and we can bring it down to $210 for you. When would you like to come in? I have availability this week.

--Deanna Chapman DCH Toyota of Torrance",59051
54300316,What is the cost w/o the discount? What is the exact work to be performed on my car's fuel system?,Answer Unavailable,,
54289347,How is 9 am,54289667,"Perfect
",99
54288544,How about tomorrow morning 😊,54289230,Cool after 8?,183
54285528,Hello how is Friday around 10,54288374,"Good Afternoon Chardane Thomas, your appointment is confirmed on Friday 4th at 10:00 am, Thank you for servicing your vehicle at DCH Toyota of Torrance.

--Diana Cota DCH Toyota of Torrance",743
54279869,Miguel. What's the status on my car?  Any idea on when it will be done?,54280830,"we are moving along, axle boots were picked up after you and i spoke so tech is already going back together. fluids and service already done. if everything stays well we are looking at 3-3:30. i will call you right away so we can schedule shuttle pick up. thank you

--Miguel Ortiz DCH Toyota of Torrance",272
54271579,What are the details of the discount?,54278311,"Hi, I can offer you 10% off of all labor 

--Deanna Chapman DCH Toyota of Torrance",1826
54266810,"This is Dan, Rosie's husband. I took the car in on Friday. My Service Advisor was Chrissy Robertson and we did everything that was on the schedule. 

So what was missed?",54275387,"Hi Dan, 
So very sorry, that message was sent in error i see you had completed all the necessary work.

--Deanna Chapman DCH Toyota of Torrance",2339
54258796,Hi Miguel I emailed you yesterday in case you didn't receive it yes I am ok with the RO as written. When you can please email me the RO. Thanks,54258944,"got it, sorry i was off this weekend, i will send you a follow up invoice with findings and quote. 

--Miguel Ortiz DCH Toyota of Torrance",49
54257116,What are the recommended repairs and how much would the total be and exactly how much is the discount?,54257571,"Hi, It was recommended to do the Fuel System Service. With discount applied it would be $230.44

--Deanna Chapman DCH Toyota of Torrance",164
54257116,What are the recommended repairs and how much would the total be and exactly how much is the discount?,54257571,"Hi, It was recommended to do the Fuel System Service. With discount applied it would be $230.44

--Deanna Chapman DCH Toyota of Torrance",164
54255013,Hi. Thanks for texting. I should know in about an hour what time I'll be picking up. I might need to leave the office for court. I'll let you know. Thanks!,Answer Unavailable,,
54236142,Thank u. How long does this service usually take? Can I sit and wait for my car?,54246741,"The service takes about an hour and a half to two hours. You can wait in the customer lobby if you wish and we do provide a shuttle that takes you and brings you back within a 7 mile radius.

--ROXANNA SANCHEZ DCH Toyota of Torrance",3241
54234798,How much will this service be?,54235778,"This is for Minor Service on your 2013 Toyota Avalon.This includes an oil change,tire rotation,multi-point inspection, we top off your fluids and clean and adjust your rear brakes. The service cost is $99.

--ROXANNA SANCHEZ DCH Toyota of Torrance",290
54232842,"Sorry! One more question! We will be taking a driving trip that will be approximately 1000 miles. Otherwise, we don't drive the car very much. When is the next recommended service? Will it be at a certain mileage point?",54233263,"No problem.  Your next service will be at 33,700 miles or in December, whichever comes first

--Coby Turner DCH Toyota of Torrance",134
54229355,My husband will walk over and pick up the car when he gets off of work this afternoon. Please let me know the total charge for today with discount applied. Thank you for your assistance. I wish you a wonderful day.,54230319,"After tax, your total is $93.71.  You should receive another text which will have a copy of the invoice and the opportunity to pay online (just click the pay link), if you'd like to do that. We are open unitl 7pm so he can pick it up any time.  Thanks and have a great day!!

--Coby Turner DCH Toyota of Torrance",277
54229121,Yes. Please do the preventive injector service for $249.95 and the line flush for $159.95. How long ago were the brakes done? Why is the brake fluid dark and needing change so soon?,54229579,"brakes are ok, it does not get replaced when brakes are done. it is only condition based and it looks dark so we recommend it at that time. 

--Miguel Ortiz DCH Toyota of Torrance",202
54229121,Yes. Please do the preventive injector service for $249.95 and the line flush for $159.95. How long ago were the brakes done? Why is the brake fluid dark and needing change so soon?,54229579,"brakes are ok, it does not get replaced when brakes are done. it is only condition based and it looks dark so we recommend it at that time. 

--Miguel Ortiz DCH Toyota of Torrance",202
54228419,Hi Chrissy. How long will the tire replacement take?,54231679,2-3 hrs we have to do the alignment as well,999
54228184,"1) Have I had the ""Fuel System Service"" done previously?
2) How often is that service performed?
3) Is this an urgent issue, or can it wait?
We're on a budget, and just spent a chunk of $ yesterday for 4 new tires & alignment, so I need to make wise decisions about what's ABSOLUTELY NECESSARY & what can wait! Thanks for letting me know.@",54228790,"It has never been done and you will usually need it every few years but we go by the carbon build up seen in the throttle.  However, it is not urgent.  At this point it is preventative maintenance and you can wait until your next service to get it done.  I'll make a note on it and you can pick up the car any time.
",163
54228184,"1) Have I had the ""Fuel System Service"" done previously?
2) How often is that service performed?
3) Is this an urgent issue, or can it wait?
We're on a budget, and just spent a chunk of $ yesterday for 4 new tires & alignment, so I need to make wise decisions about what's ABSOLUTELY NECESSARY & what can wait! Thanks for letting me know.@",54228790,"It has never been done and you will usually need it every few years but we go by the carbon build up seen in the throttle.  However, it is not urgent.  At this point it is preventative maintenance and you can wait until your next service to get it done.  I'll make a note on it and you can pick up the car any time.
",163
54226651,"What would be done @ the next scheduled service appointment? I'm wondering if the ""recommended services"" you referred to could be done @ the next service?",54227142,"The cabin filter would be done but not the Fuel system service
 

--Coby Turner DCH Toyota of Torrance",155
54226475,"Good morning, Coby. How much is the total charge for the services that have been done already with any of the coupons/discounts applied?",Answer Unavailable,,
54221469,"Hi Marvin, If the brakes are borderline, please do them as now is a good time for me. Please advise when you can, no rush. Thank you!  Elissa",54222085,"ok, will do.

--Marvin Cabrera DCH Toyota of Torrance",233
54219554,"Thanks Marvin! The tow truck will be at my house a bit after 9:00 to get the car, but I had to make arrangements to get my son to JGs and am catching a ride to the dealership. I will text you when we're leaving the beach in a few minutes.",54219756,"If you can , to save you some time, go straight to ENTERPRISE on pch (3105391939). I will call them with a purchase order.

--Marvin Cabrera DCH Toyota of Torrance",84
54187539,Yes sorry Diana i got sick and firgot to call. What about friday morning,54187666,"Hi Maria , we are available on Friday 4th at 7:30 am, 8:00 am ,8:30 am or 9:30 am, what time is good for you to come in?

--Diana Cota DCH Toyota of Torrance",128
54183934,"Great, how do i arrange to be picked up?",Answer Unavailable,,
54135294,"Yes, go ahead and make the repairs. What time will the truck be ready?",54142936,"I need the truck till tomorrow, I can get you free rental if needed . we also need to change all 3 drive belts they are cracked and worn $200 parts and labor ...",2088
54135241,Ok! Actually I am out right now. What time will the shuttle arrive?,Answer Unavailable,,
54134833,When is pickup any idea,Answer Unavailable,,
54126500,I'm ready when ever,Answer Unavailable,,
54121563,Richard it's Fred the vibration starts when you put it in reverse. With the a.c on. ,Answer Unavailable,,
54116798,Proceed with the work.  Please see what you can do about the price.  That's more than we had thought we'd be paying. The coupon is 15% off of labour on the website,Answer Unavailable,,
54113157,What will be the total? With everything included?,54113244,AFTER TAX $260,33
54112033,Thanks.  Do you know when my servicing period expires?,54117300,"Hi Irene, for your 2016 Camry for your complimentary service will expire on January 2019 or 35,000 miles whichever comes first.

--Diana Cota DCH Toyota of Torrance",1555
54107599,How about 8/11 at 11 am?,54111855,"Great Irene, your appointment is confirmed on Friday 11th at 11:00am, Thank you for servicing your vehicle at DCH Toyota of Torrance.

--Diana Cota DCH Toyota of Torrance",1246
54050111,"Do you have a time available 8/11?  Is there a time when I could either get the work done when I take the car in and not have much of a wait--or when I wouldn't have much of a wait to get a ride home?  If not the 11th, maybe the 18th?  Thanks!",54106814,"Good Morning Irene Lam, we are available on 11th or 18th, the service will take one hour half to two hours, we do have a courtesy shuttle 7 mile radius and the wait for the shuttle takes 15 to 20 minute , what day and time is good for you to come in?

--Diana Cota DCH Toyota of Torrance",99316
54046860,What time are you open until?,54046869,we are here till 5pm,14
54043744,"I'm still waiting for the shuttle but, how much time would it take?",Answer Unavailable,,
54042974,"Hey Coby, this is Jason Landau. What time should i come back 4:30-5? Thanks again",54043018,"Probably 4:30 should be good 👍
--Coby Turner DCH Toyota of Torrance",64
54041421,Also how do you know it is going to charge all the way if it has not been charged,54041661,"looks like my tech  did the smart right thing to do, he left it charging overnight after unit was installed. we are good sir.

--Miguel Ortiz DCH Toyota of Torrance",181
54038313,Where will you leave the key??,54038426,"we will drop off the key and invoice with the receptionist. 
",45
54037557,What happened? Why the car cannot be done today as expected?,54037755,"I need to replace another seal (no extra charge to you..) and it's not coming till lunch time on Monday. I don't want you to drive the vehicle with leaking transmission oil over the weekend. :-)

--Margaret Kang DCH Toyota of Torrance",112
54037557,What happened? Why the car cannot be done today as expected?,54037755,"I need to replace another seal (no extra charge to you..) and it's not coming till lunch time on Monday. I don't want you to drive the vehicle with leaking transmission oil over the weekend. :-)

--Margaret Kang DCH Toyota of Torrance",112
54037329,My Yaris will be done when?,54037450,"Monday lunch time-ish. Please bring your current insurance card with you when you come down.

--Margaret Kang DCH Toyota of Torrance",126
54037278,"Chrissy,  any idea when the car may be done?  I'm at the gym and trying to see if I should come get the car or go home",54038134,"car is not ready yet sorry we fell behind be ready in an hr
",669
54032983,What time do you close today?,Answer Unavailable,,
54032299,Do you know u have an idea of when someone will be here? Been waiting for awhile...,54032573,"let me check,,

--Margaret Kang DCH Toyota of Torrance",141
54030501,Ok thanks what time do you close?,54030607,"4:59PM/

--Margaret Kang DCH Toyota of Torrance",56
54028712,So what would be the total?,54028904,"$296 for minor service $(47) + Fuel sys decarb ($210) + engine air filter ($39). Is this ok?

--Margaret Kang DCH Toyota of Torrance",115
54026552,Miguel I appreciate all of your effort.  I know this has been a pain for you as well.  Please let me know when we would be able to pick up the vehicle. It may be later today since my wife is already out and about. Thank you again for your help here,54026598,"you got it no problem. just doing my job sir. Thank you for your kind words. 

--Miguel Ortiz DCH Toyota of Torrance",39
54011821,What time do you close today? Can I come to get my cat around 5 PM?,54011911,"OF COURSE! I will text you when we are done.

--Margaret Kang DCH Toyota of Torrance",41
54011462,Yes. Please do them.  When will my car be done?,54011503,"in about 2-3 hours :-)

--Margaret Kang DCH Toyota of Torrance",30
54008581,What is this fee For? You told my husband yesterday there would be no fee for this ,54008645,"NO FEE NO CHARGE 

--Richard Perez DCH Toyota of Torrance",40
53979547,"Miguel I know you are doing your job and doing your best. However you an I both know that this situation has not been handled properly.  I am not mentioning a legal action, I am establishing I know my rights and encouraging you guys to do the right thing.  I am a business owner, if my customer is having a problem based on something that is my fault or the fault of one of my partners I eat it as part of good customer service. If a customer has a problem and I am a manager and the customer asks to speak to me and I ignore the calls and never get back in contact with the person, how exactly do you think that will translate. The mark is being missed with basic customer service. I know for a fact I am not being a jerk or unreasonable. I have not come down there yelling and going off. I have been very respectful. Again I am just encouraging the right action to be taken. That's all",54023732,"Hello Mr. Gray, its Miguel, car is done and ready for pick up. i am processing paperwork. we are going to the rental upo with Toyota and used car department so you wont have to deal with that anymore, the only item is your deductible. I will send final text as soon as paperwork has been finalized. Again, i am sorry you guys have been going through this but i am glad is good to go and like i said, we will take it up with Toyota coorporate. Thank you sir.

--Miguel Ortiz DCH Toyota of Torrance",62257
53978787,"Hello Richard, may I know when it can be done?",Answer Unavailable,,
53977193,Also I expect an explanation from your manager as to why he ignored my calls while you were away. He never called me back. I find that interesting as well. I know executives at corporate from when I worked there who have migrated to Plano Texas. I am making calls myself. I am really interested in how this situation plays out. I am documenting this.,53977347,"no problem i will answer whatever i can. I cannot answer for Toyota and the dealer can only honor what ever Toyota and extended warranty allows us  to use based on the contracts provided. i am sorry you guys are having to go through all of this but i am afraid i may not have all the answers you are looking for. Toyota Motors may be best source to answer on their behalf  and their policies. Thank you

--Miguel Ortiz DCH Toyota of Torrance",125
53977193,Also I expect an explanation from your manager as to why he ignored my calls while you were away. He never called me back. I find that interesting as well. I know executives at corporate from when I worked there who have migrated to Plano Texas. I am making calls myself. I am really interested in how this situation plays out. I am documenting this.,53977347,"no problem i will answer whatever i can. I cannot answer for Toyota and the dealer can only honor what ever Toyota and extended warranty allows us  to use based on the contracts provided. i am sorry you guys are having to go through all of this but i am afraid i may not have all the answers you are looking for. Toyota Motors may be best source to answer on their behalf  and their policies. Thank you

--Miguel Ortiz DCH Toyota of Torrance",125
53977193,Also I expect an explanation from your manager as to why he ignored my calls while you were away. He never called me back. I find that interesting as well. I know executives at corporate from when I worked there who have migrated to Plano Texas. I am making calls myself. I am really interested in how this situation plays out. I am documenting this.,53977347,"no problem i will answer whatever i can. I cannot answer for Toyota and the dealer can only honor what ever Toyota and extended warranty allows us  to use based on the contracts provided. i am sorry you guys are having to go through all of this but i am afraid i may not have all the answers you are looking for. Toyota Motors may be best source to answer on their behalf  and their policies. Thank you

--Miguel Ortiz DCH Toyota of Torrance",125
53976920,"Ok. I am leaving town this weekend on business but my wife pick it up when it is ready. However I have many questions and concerns about this vehicle and Toyotas ability to support maintenance.  I also am confused about why a large dealership, and corporation like Toyota (who I used to work for out of their corporate office in Torrance) is squabbling about some rental car fees when legally that is not my responsibility as the consumer. I find that confusing. I will be around Saturday and then I leave town on business. I will be accompanying my wife. I just want you to know I will have questions",Answer Unavailable,,
53976920,"Ok. I am leaving town this weekend on business but my wife pick it up when it is ready. However I have many questions and concerns about this vehicle and Toyotas ability to support maintenance.  I also am confused about why a large dealership, and corporation like Toyota (who I used to work for out of their corporate office in Torrance) is squabbling about some rental car fees when legally that is not my responsibility as the consumer. I find that confusing. I will be around Saturday and then I leave town on business. I will be accompanying my wife. I just want you to know I will have questions",Answer Unavailable,,
53976405,Hi can you tell me what the price/coverage would be if I wanna get the toyotacare plus with 3 more years of coverage?,Answer Unavailable,,
53973471,"Hi Diana, sorry I couldn't get back to you as I was out of country and just got back in town. Can I still get my complementary Toyota Care Maintenance which you texted me?
If so, I can bring my car on 8/7th, Monday morning around 11am.
Please let me know. Thanks!
Keiko",54001562,"Good Morning Keiko Watanabe , my apologies for your 2008 Camry there is no complementary service , would you like to make appointment?

--Diana Cota DCH Toyota of Torrance",56871
53971518,How much do we owe you for today's repairs?,Answer Unavailable,,
53970006,How about August 4 at 7am?,53970223,"Great you're all set we will see you on Friday ! 
",79
53969825,What is it?,Answer Unavailable,,
53968704,What type of service? ,53969741,"Minor service

--Deanna Chapman DCH Toyota of Torrance",493
53967930,"Marvin,
Sorry to bother you but have small issue.  
Had my Venza in for maintenance on July 15.  The display keeps telling me ""oil maintenance required"" when I start it.
What do I need to do?
Jane Prather",54085582,"Hello, I been off since Friday, Please come by when you get a minute so I can reset that light for you. Thanks.

--Marvin Cabrera DCH Toyota of Torrance",231707
53967930,"Marvin,
Sorry to bother you but have small issue.  
Had my Venza in for maintenance on July 15.  The display keeps telling me ""oil maintenance required"" when I start it.
What do I need to do?
Jane Prather",54085582,"Hello, I been off since Friday, Please come by when you get a minute so I can reset that light for you. Thanks.

--Marvin Cabrera DCH Toyota of Torrance",231707
53967750,Do you know about what time the car Will be ready ,53967838,"Sorry do you know who was helping you ?

--Richard Perez DCH Toyota of Torrance",45
53965664,"Miguel,  this is Mike Mickes.  Do you know when the car will be ready for pick up?  Thx!",53966176,"Hello Mike, ac work is done, technician is working on struts and will be today, end of day, by 6-6:30 but if its done sooner i will call you right away. that is a big job. If you need a shuttle we can do that by 5:30 or if you prefer a rental car also, let me know. thanks
 

--Miguel Ortiz DCH Toyota of Torrance",278
53948164,What is the situation with the rental?,53966540,"I am still working on balance of days. What My manager and i are going to do is to submit for goodwill request and see if Toyota will reconsider, if they do, i will be able gto get everything covered till this weekend. i wont know untiul job is done and i have a total and submit it see if we can get it approved. We will keep you and enterprise posted. i am trying every route i can for you guys. 

--Miguel Ortiz DCH Toyota of Torrance",6320
53947968,What service are you referring to ?,53948788,"Due for your 25K mile service on your 2016 Prius

--Deanna Chapman DCH Toyota of Torrance",268
53941746,How much is the cost?,53941853,"Nothing :) is cover by warranty 

--Janet Roman DCH Toyota of Torrance",33
53936144,"I'm sorry but I don't really understand. 

When will my car be ready?

Thank you Janet. ",53941230,"Ok so the vehicle is done. What we had to do is adjusted the fuel neck. If that is not position correctly the gas cap gets loose and it triggers the check engine light to come on. But all done :)

--Janet Roman DCH Toyota of Torrance",1322
53923706,Which vehicle?,53924009,"This is for your 2014 Toyota Corolla

--Deanna Chapman DCH Toyota of Torrance",67
53921124,I can bring it back when the part comes back,53921157,"Yes of course its ready for pick up now. 

--Daniel Poplar DCH Toyota of Torrance",16
53916047,"Hi Janet,
Thank you.  I will pay at the cashier when I arrive.",53918370,"sounds good thanks

--Janet Roman DCH Toyota of Torrance",613
53907043,Hey Miguel that's just my boy looking out for me. Thanks for going to bat for me. And I wouldn't want you to take your day off to go to court for me so that's why I allowed him to ask you to do even more work.,Answer Unavailable,,
53906996,Just replace the battery for now. In September I will have the struts and recall done when I get the engine oil changed. Thank you. ,53907371,"no problem
",126
53904348,"Miguel, please call me when you get a second so I understand the total of the service.  Thanks",Answer Unavailable,,
53898436,Will this delay when the car will be ready?,Answer Unavailable,,
53897816,Do you have a record of when they were last replaced?,53897917,"Our records show that this would be the first time we replace them
",40
53896275,"Richard, the extended warranty is through century; phone # 877-793-7123, contract #4S219940. Bought the vehicle from Elmore Toyota. The skid control ECU was replaced by Elmore when vehicle was purchased last year.",53896497,"THANK U SR 

--Richard Perez DCH Toyota of Torrance",85
53895655,Terrific!   Thank you!   How late can I come for pick up?,Answer Unavailable,,
53891674,Thank you. Will they let me know when they are on their way?,53891694,"YES THE DRIVER WILL CALL YOU
",14
53889100,What car are you talking about?,53890561,"So sorry, I just realized its a different Steve Jones!  My apologies 

--Coby Turner DCH Toyota of Torrance",491
53888100,What is the latest I can pick it up,Answer Unavailable,,
53888030,One more question.... How long do you think it'll take for the service? I'm trying to arrange appointments with customers after service. Thank you,53888373,"On a Saturday, services tend to take a little longer, so i would say about 2-3 hours.

--Deanna Chapman DCH Toyota of Torrance",128
53887028,Hi Chrissy. I have a Toyota Motor Corp. lease Highlander that I need to bring in for a basic service. Can I drop it off tomorrow morning when I pick up the Prius?,53887453,"Yes Sir I can handle that no problem
",145
53884777,"Yes please. Now If I want to use full synthetic oil instead of conventional,  how much would I have to pay?",53885463,"For synthetic oil you're looking at $99.95 + Tax

--Deanna Chapman DCH Toyota of Torrance",221
53878862,What would be the latest appointment you take on Saturday afternoon? ,53879418,"The latest appointment would be 2:45 PM

--Deanna Chapman DCH Toyota of Torrance",192
53873268,how much would the service cost?,53874591,"GOOD MORNING, YOUR DUE FOR A MINOR SERVICE, SO THAT USUALLY COSTS ABOUT $89.95 + TAX

--Deanna Chapman DCH Toyota of Torrance",398
53871730,Thanks - approx how much longer?,53871958,"20-25 minutes the car didn't want to start after they turned it off 

--Janet Roman DCH Toyota of Torrance",77
53839644,"Hi Jose. It's William Hill with the Toyota Highlander. The one that needs the drivers side window seal replaced.  I'm looking to come in next Thursday Aug 3rd at 9:15am and get it fixed along with getting the service that just came due. Also I believe there is a recall on the back hatch of some sort...regardless, mine sometimes makes a bad squeaking sound when opening or closing. 

I'm going to call and make an appointment but I wanted to let you know in case the window seal",Answer Unavailable,,
53838651,So total price for everything with taxes and what not is 1550ish?,53838806,"BATT W TERMINALS 238 + BRAKES 298 + KEY FOB 127 +SERVICE 89 = 752, WITH 10% DISCOUNT, $676. ADD WATER PUMP/BELT 1050 = 1726.. A BIT MORE...

--Margaret Kang DCH Toyota of Torrance",234
53838604,Hmm when do I need to tell you? I'm just surprised the seal is going bad below 60k miles,53838634,"text me by tomorrow morning by 9am ish

--Margaret Kang DCH Toyota of Torrance",26
53838585,Ok ty so much..what is my total damage? ,Answer Unavailable,,
53838051,Did they say how bad the leak for the water pump is? No performance issues with pump? Can't patch? ,53838113,"not dripping (but i don't want you to wait till it drips!), still pumping, but with leaking from the weep hole of the pump itself, it's hard to foresee how long it can hold across to the other side with warm weather. 

--Margaret Kang DCH Toyota of Torrance",84
53835716,How late can she pick it up?,53836108,"We are here till 7pm
--Jose Hernandez DCH Toyota of Torrance",326
53833880,Thanks Marvin for servicing my Van. Just wondering what type of oil did you used? Thanks,54085769,"Hello, I been off since Friday, the oil is synthetic 0w20

--Marvin Cabrera DCH Toyota of Torrance",315144
53815310,Thanks for letting me know. I would like to schedule for when Bryan is in. Will he be in on Thursday 8/3? I can do early morning that day. Thanks!,53830475,"HI Kyrie, Bryan will be in on August 3rd at 7:00 am , 7:30 am or 8:00 am , what time is good for you to come in?

--Diana Cota DCH Toyota of Torrance",6092
53815229,"Hi Coby, I have someone to drive me back to get the car but I don't know when it will be ready.  Thanks Kathy ",53815384,"It is ready, but it needs rear brakes and and engine filter.  If you want I can do them now but it wouldn't be done til 5.  The brakes are about $300, the filter is $60

--Coby Turner DCH Toyota of Torrance",60
53815159,When ru leaving?,53815425,"4PM

--Marvin Cabrera DCH Toyota of Torrance",100
53804500,I see. I'm not gonna do that repair right now. Let me know when I could pick my car up thank you. How much is that repair?,53804866,the car will be ready in 15min.  the tear down will cost 1800.00 to verify if it is only the gasket or the cylinder head,113
53804500,I see. I'm not gonna do that repair right now. Let me know when I could pick my car up thank you. How much is that repair?,53804866,the car will be ready in 15min.  the tear down will cost 1800.00 to verify if it is only the gasket or the cylinder head,113
53801362,What is the latest time that I can pick up my car?,53801391,7PM,9
53800316,What was the problem?  Why the check engine light ,53803312,"the tech found a vacuum hose that was leaking. we replaced it and cleared light. 
",781
53800316,What was the problem?  Why the check engine light ,53803312,"the tech found a vacuum hose that was leaking. we replaced it and cleared light. 
",781
53789240,I'll let you know when I'm ready to send me the shuttle probably in 2 hours. Is this ok?,53789310,"text me when you are ready for pick up :-) about 30 min before! 

--Margaret Kang DCH Toyota of Torrance",22
